2025-05-02 22:00:41 - 
Tokens gerados:
2025-05-02 22:00:41 - <FIM_ENQ, 'fimenquanto', Linha 28, Coluna 12>
2025-05-02 22:00:41 - <ESCREVA, 'escreva', Linha 29, Coluna 12>
2025-05-02 22:00:41 - <ABRE_PAR, '(', Linha 29, Coluna 19>
2025-05-02 22:00:41 - <CADEIA, '""', Linha 29, Coluna 20>
2025-05-02 22:00:41 - <FECHA_PAR, ')', Linha 29, Coluna 22>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 29, Coluna 23>
2025-05-02 22:00:41 - <ID, 'i', Linha 30, Coluna 12>
2025-05-02 22:00:41 - <IGUAL, '=', Linha 30, Coluna 14>
2025-05-02 22:00:41 - <ID, 'i', Linha 30, Coluna 16>
2025-05-02 22:00:41 - <OP_ARIT, '+', Linha 30, Coluna 18>
2025-05-02 22:00:41 - <NUMERO_INTEIRO, '1', Linha 30, Coluna 20>
2025-05-02 22:00:41 - <PONTO_VIR, ';', Linha 30, Coluna 21>
2025-05-02 22:00:41 - <FIM_ENQ, 'fimenquanto', Linha 31, Coluna 8>
2025-05-02 22:00:41 - <FIM_SE, 'fimse', Linha 32, Coluna 4>
2025-05-02 22:00:41 - <FIM_AL, 'fimalgoritmo', Linha 33, Coluna 0>
